raw_timestamp,map,game_round,event_type,event_details
1742105720389,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.914551556110382, 'x': 286, 'y': 328, 'width': 60, 'height': 94, 'box_area': 5640, 'center_x': 316.0, 'center_y': 375.0, 'diff_height': -1.0, 'position_of_object': [286, 328, 60, 94], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720406,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9229645133018494, 'x': 286, 'y': 329, 'width': 58, 'height': 93, 'box_area': 5394, 'center_x': 315.0, 'center_y': 375.5, 'diff_height': -1.0, 'position_of_object': [286, 329, 58, 93], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720424,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9305166006088256, 'x': 286, 'y': 328, 'width': 59, 'height': 94, 'box_area': 5546, 'center_x': 315.5, 'center_y': 375.0, 'diff_height': 1.0, 'position_of_object': [286, 328, 59, 94], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720444,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7859315872192383, 'x': 284, 'y': 328, 'width': 63, 'height': 90, 'box_area': 5670, 'center_x': 315.5, 'center_y': 373.0, 'diff_height': -4.0, 'position_of_object': [284, 328, 63, 90], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720460,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5730149149894714, 'x': 283, 'y': 328, 'width': 66, 'height': 90, 'box_area': 5940, 'center_x': 316.0, 'center_y': 373.0, 'diff_height': 0.0, 'position_of_object': [283, 328, 66, 90], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720477,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5813847184181213, 'x': 268, 'y': 315, 'width': 101, 'height': 104, 'box_area': 10504, 'center_x': 318.5, 'center_y': 367.0, 'diff_height': 14.0, 'position_of_object': [268, 315, 101, 104], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720493,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7937286496162415, 'x': 268, 'y': 314, 'width': 101, 'height': 102, 'box_area': 10302, 'center_x': 318.5, 'center_y': 365.0, 'diff_height': -2.0, 'position_of_object': [268, 314, 101, 102], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720510,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8371379971504211, 'x': 270, 'y': 313, 'width': 100, 'height': 102, 'box_area': 10200, 'center_x': 320.0, 'center_y': 364.0, 'diff_height': 0.0, 'position_of_object': [270, 313, 100, 102], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720528,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.786271333694458, 'x': 266, 'y': 315, 'width': 102, 'height': 96, 'box_area': 9792, 'center_x': 317.0, 'center_y': 363.0, 'diff_height': -6.0, 'position_of_object': [266, 315, 102, 96], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720544,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7734177708625793, 'x': 268, 'y': 314, 'width': 98, 'height': 95, 'box_area': 9310, 'center_x': 317.0, 'center_y': 361.5, 'diff_height': -1.0, 'position_of_object': [268, 314, 98, 95], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
