player_ip,timestamp,yolo_obj,confidence,position_of_object
172.19.113.65,1742105842001,enemy,0.8806308,"[355, 229, 30, 69]"
172.19.113.65,1742105842001,enemy,0.6635323,"[442, 279, 59, 37]"
172.19.113.65,1742105842018,enemy,0.7254924,"[351, 229, 33, 75]"
172.19.113.65,1742105842018,enemy,0.9620245,"[353, 233, 34, 68]"
172.19.113.65,1742105842035,enemy,0.7298575,"[348, 227, 40, 75]"
172.19.113.65,1742105842035,enemy,0.94724274,"[350, 231, 40, 69]"
172.19.113.65,1742105842035,enemy,0.7812775,"[432, 281, 61, 36]"
172.19.113.65,1742105842051,enemy,0.9867339,"[358, 228, 40, 71]"
172.19.113.65,1742105842068,enemy,0.9871715,"[362, 225, 42, 76]"
172.19.113.65,1742105842068,enemy,0.59664315,"[435, 282, 59, 36]"
172.19.113.65,1742105842084,enemy,0.9449539,"[372, 228, 47, 65]"
172.19.113.65,1742105842084,enemy,0.81214315,"[447, 283, 56, 38]"
172.19.113.65,1742105842084,enemy,0.5691552,"[444, 281, 59, 41]"
172.19.113.65,1742105842101,enemy,0.98455125,"[377, 230, 45, 66]"
172.19.113.65,1742105842101,enemy,0.85770035,"[445, 285, 57, 38]"
172.19.113.65,1742105842101,enemy,0.75860465,"[444, 284, 60, 40]"
172.19.113.65,1742105842118,enemy,0.97731274,"[381, 226, 46, 70]"
172.19.113.65,1742105842118,enemy,0.537835,"[441, 284, 60, 39]"
172.19.113.65,1742105842118,enemy,0.6689251,"[439, 282, 63, 43]"
172.19.113.65,1742105842135,enemy,0.97452044,"[383, 226, 49, 73]"
172.19.113.65,1742105842135,enemy,0.67022467,"[440, 286, 63, 38]"
172.19.113.65,1742105842135,enemy,0.84435445,"[438, 283, 66, 41]"
172.19.113.65,1742105842151,enemy,0.9930118,"[382, 225, 55, 82]"
172.19.113.65,1742105842151,enemy,0.76151603,"[428, 288, 82, 36]"
172.19.113.65,1742105842168,enemy,0.9828622,"[387, 223, 54, 87]"
172.19.113.65,1742105842168,enemy,0.54728574,"[392, 225, 54, 84]"
172.19.113.65,1742105842168,enemy,0.7929485,"[430, 289, 80, 36]"
172.19.113.65,1742105842184,enemy,0.9901229,"[399, 223, 45, 87]"
172.19.113.65,1742105842201,enemy,0.99410963,"[410, 224, 40, 96]"
172.19.113.65,1742105842217,enemy,0.7211923,"[417, 223, 43, 101]"
172.19.113.65,1742105842234,enemy,0.86713856,"[426, 225, 43, 97]"
172.19.113.65,1742105842250,enemy,0.6983409,"[437, 225, 43, 98]"
172.19.113.65,1742105842285,enemy,0.6005092,"[466, 231, 44, 110]"
172.19.113.65,1742105842285,enemy,0.5092439,"[470, 233, 49, 109]"
172.19.113.65,1742105842301,enemy,0.6005092,"[466, 231, 44, 110]"
172.19.113.65,1742105842301,enemy,0.5092439,"[470, 233, 49, 109]"
172.19.113.65,1742105842318,enemy,0.8894015,"[470, 236, 53, 107]"
172.19.113.65,1742105842334,enemy,0.79786694,"[469, 236, 57, 105]"
172.19.113.65,1742105842351,enemy,0.54008925,"[469, 226, 74, 120]"
172.19.113.65,1742105842351,enemy,0.78056806,"[469, 238, 62, 102]"
172.19.113.65,1742105842368,enemy,0.5897459,"[466, 237, 62, 102]"
172.19.113.65,1742105842386,enemy,0.52415544,"[451, 230, 69, 78]"
172.19.113.65,1742105842402,enemy,0.62165207,"[443, 235, 65, 70]"
172.19.113.65,1742105842435,enemy,0.70599985,"[389, 227, 92, 85]"
172.19.113.65,1742105842452,enemy,0.9563495,"[353, 223, 98, 84]"
172.19.113.65,1742105842468,enemy,0.98962,"[323, 223, 102, 89]"
172.19.113.65,1742105842485,enemy,0.99099994,"[279, 221, 107, 100]"
172.19.113.65,1742105842501,enemy,0.65178645,"[226, 218, 136, 108]"
172.19.113.65,1742105842501,enemy,0.9414548,"[238, 211, 125, 122]"
172.19.113.65,1742105842519,enemy,0.79840904,"[186, 197, 173, 156]"
172.19.113.65,1742105842519,enemy,0.8525449,"[173, 215, 175, 138]"
172.19.113.65,1742105842535,enemy,0.9468177,"[119, 185, 208, 178]"
172.19.113.65,1742105842552,enemy,0.9171712,"[63, 184, 242, 170]"
172.19.113.65,1742105842552,enemy,0.6888255,"[53, 180, 297, 180]"
172.19.113.65,1742105842552,enemy,0.5753962,"[148, 249, 11, 14]"
172.19.113.65,1742105842568,enemy,0.950206,"[-11, 141, 295, 258]"
172.19.113.65,1742105842568,enemy,0.7212612,"[29, 141, 249, 260]"
172.19.113.65,1742105842568,enemy,0.9746905,"[266, 299, 63, 51]"
172.19.113.65,1742105842586,enemy,0.9817632,"[-4, 141, 272, 254]"
172.19.113.65,1742105842586,enemy,0.92075586,"[262, 298, 56, 49]"
172.19.113.65,1742105842602,enemy,0.9335636,"[14, 160, 220, 213]"
172.19.113.65,1742105842602,enemy,0.98114926,"[239, 287, 81, 46]"
172.19.113.65,1742105842620,enemy,0.79615015,"[13, 147, 201, 212]"
172.19.113.65,1742105842620,enemy,0.7686567,"[28, 146, 164, 250]"
172.19.113.65,1742105842620,enemy,0.9609733,"[228, 281, 71, 47]"
172.19.113.65,1742105842620,enemy,0.6289513,"[227, 278, 90, 47]"
172.19.113.65,1742105842636,enemy,0.6405714,"[30, 143, 146, 207]"
172.19.113.65,1742105842636,enemy,0.96756786,"[211, 271, 79, 44]"
172.19.113.65,1742105842636,enemy,0.8978389,"[204, 270, 90, 50]"
172.19.113.65,1742105842653,enemy,0.9478951,"[43, 162, 144, 167]"
172.19.113.65,1742105842653,enemy,0.78431493,"[211, 265, 65, 53]"
